Country,City,LaundryID,TenantID,Service,Item,StartDate,EndDate,DeliveryDate,Fee,Water_Litres,Electricity_kWh,IsHoliday,DayOfWeek,IsWeekend
USA,Chicago,L1,T40,Dry-clean,Curtain,2025-01-03,2025-01-05,2025-01-06,16.84,276.0,4.32,0,4,0
USA,New York,L5,T88,Press,Bedsheet,2025-01-03,2025-01-06,2025-01-07,41.25,,2.71,0,4,0
UK,London,L9,T83,Wash,Curtain,2025-01-03,2025-01-05,2025-01-06,49.02,192.0,3.54,0,4,0
UK,Birmingham,L3,T56,Wash,Tablecloth,2025-01-03,2025-01-06,2025-01-08,65.43,237.0,4.1,0,4,0
UK,Manchester,L10,T35,Wash,Towel,2025-01-03,2025-01-04,2025-01-06,89.35,162.0,4.0,0,4,0
Pakistan,Islamabad,L7,T44,Wash,Uniform,2025-01-03,2025-01-04,2025-01-06,29.09,166.0,2.36,0,4,0
Pakistan,Islamabad,L5,T72,Wash,Towel,2025-01-03,2025-01-04,2025-01-05,74.81,225.0,3.22,0,4,0
USA,Chicago,L8,T83,Press,Curtain,2025-01-03,2025-01-04,2025-01-05,36.48,,2.62,0,4,0
USA,Los Angeles,L10,T48,Dry-clean,Tablecloth,2025-01-03,2025-01-05,2025-01-07,99.7,240.0,2.32,0,4,0
Pakistan,Karachi,L5,T40,Wash,Bedsheet,2025-01-03,2025-01-06,2025-01-07,38.4,290.0,3.14,0,4,0
Pakistan,Lahore,L4,T28,Press,Uniform,2025-01-03,2025-01-06,2025-01-08,98.25,,4.33,0,4,0
UK,London,L6,T23,Wash,Tablecloth,2025-01-03,2025-01-04,2025-01-06,14.1,113.0,3.21,0,4,0
Pakistan,Lahore,L8,T14,Press,Tablecloth,2025-01-03,2025-01-05,2025-01-07,53.08,,2.36,0,4,0
USA,Los Angeles,L8,T15,Press,Curtain,2025-01-03,2025-01-05,2025-01-06,61.93,,3.75,0,4,0
USA,New York,L10,T39,Wash,Towel,2025-01-03,2025-01-04,2025-01-06,64.57,258.0,1.9,0,4,0
Pakistan,Karachi,L8,T57,Wash,Tablecloth,2025-01-03,2025-01-05,2025-01-07,61.18,115.0,3.44,0,4,0
Pakistan,Lahore,L4,T81,Wash,Bedsheet,2025-01-03,2025-01-04,2025-01-05,25.64,119.0,1.63,0,4,0
UK,Manchester,L10,T61,Wash,Towel,2025-01-03,2025-01-05,2025-01-07,73.27,216.0,1.28,0,4,0
USA,Los Angeles,L10,T85,Press,Towel,2025-01-03,2025-01-05,2025-01-06,59.01,,3.59,0,4,0
UK,London,L2,T8,Wash,Uniform,2025-01-03,2025-01-06,2025-01-08,49.52,219.0,3.75,0,4,0
Pakistan,Karachi,L5,T65,Dry-clean,Curtain,2025-01-03,2025-01-04,2025-01-05,90.05,288.0,2.29,0,4,0
UK,London,L2,T30,Rent-Laundry,Tablecloth,2025-01-03,2025-01-06,2025-01-07,99.96,,,0,4,0
Pakistan,Karachi,L10,T6,Press,Towel,2025-01-03,2025-01-05,2025-01-07,92.45,,1.73,0,4,0
Pakistan,Karachi,L8,T12,Dry-clean,Curtain,2025-01-03,2025-01-05,2025-01-07,70.31,141.0,2.32,0,4,0
Pakistan,Karachi,L5,T85,Rent-Laundry,Tablecloth,2025-01-03,2025-01-04,2025-01-06,17.93,,,0,4,0
UK,Manchester,L2,T99,Dry-clean,Tablecloth,2025-01-03,2025-01-04,2025-01-06,47.19,148.0,3.07,0,4,0
Pakistan,Karachi,L8,T98,Wash,Uniform,2025-01-03,2025-01-06,2025-01-07,93.49,212.0,4.52,0,4,0
UK,London,L1,T81,Press,Towel,2025-01-03,2025-01-06,2025-01-07,37.97,,1.05,0,4,0
UK,London,L4,T15,Dry-clean,Bedsheet,2025-01-03,2025-01-06,2025-01-07,54.85,283.0,2.17,0,4,0
Pakistan,Karachi,L7,T62,Rent-Laundry,Towel,2025-01-03,2025-01-05,2025-01-06,44.52,,,0,4,0
Pakistan,Islamabad,L3,T9,Wash,Curtain,2025-01-04,2025-01-06,2025-01-08,83.85,172.0,3.9,0,5,1
Pakistan,Islamabad,L8,T20,Dry-clean,Curtain,2025-01-04,2025-01-06,2025-01-08,59.67,239.0,2.51,0,5,1
UK,London,L4,T74,Wash,Curtain,2025-01-04,2025-01-05,2025-01-07,77.02,280.0,4.65,0,5,1
UK,Manchester,L3,T64,Rent-Laundry,Towel,2025-01-04,2025-01-07,2025-01-09,88.27,,,0,5,1
UK,London,L9,T59,Wash,Towel,2025-01-04,2025-01-06,2025-01-07,16.73,300.0,4.88,0,5,1
UK,Birmingham,L7,T84,Wash,Uniform,2025-01-04,2025-01-07,2025-01-09,95.87,260.0,3.87,0,5,1
UK,Birmingham,L1,T80,Wash,Uniform,2025-01-04,2025-01-05,2025-01-06,49.06,125.0,4.04,0,5,1
Pakistan,Lahore,L8,T22,Press,Bedsheet,2025-01-04,2025-01-05,2025-01-07,81.65,,2.17,0,5,1
UK,Manchester,L3,T32,Dry-clean,Tablecloth,2025-01-04,2025-01-07,2025-01-08,25.3,120.0,3.44,0,5,1
UK,Birmingham,L4,T64,Rent-Laundry,Towel,2025-01-04,2025-01-05,2025-01-07,67.41,,,0,5,1
UK,Manchester,L1,T60,Rent-Laundry,Tablecloth,2025-01-04,2025-01-05,2025-01-06,49.76,,,0,5,1
UK,Birmingham,L5,T82,Rent-Laundry,Uniform,2025-01-04,2025-01-06,2025-01-08,27.93,,,0,5,1
UK,Manchester,L2,T31,Wash,Uniform,2025-01-04,2025-01-07,2025-01-09,99.34,175.0,1.09,0,5,1
Pakistan,Karachi,L5,T2,Dry-clean,Bedsheet,2025-01-04,2025-01-07,2025-01-09,84.96,173.0,4.1,0,5,1
USA,Chicago,L6,T29,Press,Tablecloth,2025-01-04,2025-01-06,2025-01-07,66.54,,4.61,0,5,1
Pakistan,Lahore,L5,T57,Wash,Uniform,2025-01-04,2025-01-07,2025-01-08,18.11,175.0,2.31,0,5,1
UK,London,L4,T17,Press,Uniform,2025-01-04,2025-01-07,2025-01-09,84.74,,2.03,0,5,1
UK,Manchester,L6,T15,Dry-clean,Bedsheet,2025-01-04,2025-01-05,2025-01-06,87.41,285.0,3.7,0,5,1
UK,Birmingham,L6,T12,Press,Bedsheet,2025-01-04,2025-01-06,2025-01-07,50.93,,3.69,0,5,1
Pakistan,Karachi,L10,T49,Press,Uniform,2025-01-04,2025-01-05,2025-01-06,52.43,,3.48,0,5,1
Pakistan,Karachi,L10,T29,Press,Curtain,2025-01-04,2025-01-07,2025-01-09,68.43,,1.47,0,5,1
USA,New York,L5,T64,Wash,Towel,2025-01-04,2025-01-07,2025-01-08,44.98,194.0,3.68,0,5,1
Pakistan,Islamabad,L9,T54,Dry-clean,Towel,2025-01-04,2025-01-06,2025-01-07,85.03,257.0,2.63,0,5,1
UK,London,L6,T28,Dry-clean,Towel,2025-01-04,2025-01-06,2025-01-07,98.28,194.0,3.18,0,5,1
Pakistan,Karachi,L1,T51,Wash,Bedsheet,2025-01-04,2025-01-06,2025-01-07,69.65,264.0,3.56,0,5,1
USA,New York,L6,T32,Rent-Laundry,Tablecloth,2025-01-04,2025-01-05,2025-01-06,84.68,,,0,5,1
Pakistan,Lahore,L10,T28,Press,Towel,2025-01-04,2025-01-06,2025-01-07,80.98,,3.38,0,5,1
UK,London,L3,T70,Wash,Towel,2025-01-04,2025-01-05,2025-01-06,21.86,191.0,4.16,0,5,1
USA,Chicago,L6,T3,Wash,Bedsheet,2025-01-04,2025-01-05,2025-01-07,57.35,290.0,1.25,0,5,1
UK,Manchester,L9,T76,Wash,Tablecloth,2025-01-04,2025-01-05,2025-01-06,75.45,268.0,3.09,0,5,1
UK,Birmingham,L1,T8,Rent-Laundry,Curtain,2025-01-04,2025-01-06,2025-01-07,54.12,,,0,5,1
UK,London,L2,T42,Press,Bedsheet,2025-01-04,2025-01-05,2025-01-07,66.19,,3.34,0,5,1
Pakistan,Karachi,L7,T77,Dry-clean,Curtain,2025-01-04,2025-01-07,2025-01-09,18.93,279.0,1.46,0,5,1
Pakistan,Islamabad,L9,T93,Press,Curtain,2025-01-04,2025-01-06,2025-01-07,47.24,,4.31,0,5,1
UK,Manchester,L2,T41,Dry-clean,Uniform,2025-01-04,2025-01-06,2025-01-07,71.81,221.0,1.27,0,5,1
USA,New York,L7,T13,Press,Uniform,2025-01-04,2025-01-05,2025-01-06,62.78,,3.25,0,5,1
UK,Birmingham,L2,T53,Wash,Curtain,2025-01-04,2025-01-07,2025-01-08,97.16,253.0,2.25,0,5,1
USA,Chicago,L9,T28,Wash,Curtain,2025-01-04,2025-01-05,2025-01-06,41.51,242.0,2.47,0,5,1
UK,Birmingham,L4,T55,Press,Tablecloth,2025-01-05,2025-01-08,2025-01-09,64.81,,3.63,0,6,1
Pakistan,Karachi,L1,T24,Wash,Uniform,2025-01-05,2025-01-07,2025-01-09,10.55,136.0,3.27,0,6,1
UK,London,L3,T95,Press,Bedsheet,2025-01-05,2025-01-06,2025-01-07,43.86,,2.81,0,6,1
USA,Los Angeles,L5,T93,Wash,Tablecloth,2025-01-05,2025-01-08,2025-01-09,89.5,139.0,1.63,0,6,1
Pakistan,Lahore,L2,T35,Dry-clean,Curtain,2025-01-05,2025-01-07,2025-01-09,47.28,155.0,4.02,0,6,1
USA,Los Angeles,L7,T15,Wash,Tablecloth,2025-01-05,2025-01-07,2025-01-09,14.09,201.0,4.94,0,6,1
USA,New York,L4,T39,Rent-Laundry,Towel,2025-01-05,2025-01-07,2025-01-09,39.53,,,0,6,1
USA,Los Angeles,L7,T23,Wash,Tablecloth,2025-01-05,2025-01-08,2025-01-09,55.02,271.0,4.22,0,6,1
USA,Los Angeles,L1,T56,Wash,Bedsheet,2025-01-05,2025-01-07,2025-01-09,61.61,281.0,3.56,0,6,1
UK,London,L7,T3,Rent-Laundry,Towel,2025-01-05,2025-01-08,2025-01-10,84.88,,,0,6,1
UK,London,L7,T14,Wash,Tablecloth,2025-01-05,2025-01-07,2025-01-08,45.62,179.0,3.98,0,6,1
USA,Los Angeles,L3,T10,Dry-clean,Bedsheet,2025-01-05,2025-01-08,2025-01-09,91.53,189.0,2.4,0,6,1
Pakistan,Lahore,L4,T14,Wash,Towel,2025-01-05,2025-01-06,2025-01-07,78.42,267.0,1.3,0,6,1
Pakistan,Karachi,L8,T97,Dry-clean,Tablecloth,2025-01-05,2025-01-07,2025-01-09,87.78,260.0,2.26,0,6,1
UK,London,L8,T57,Press,Uniform,2025-01-05,2025-01-08,2025-01-09,41.67,,1.3,0,6,1
UK,Manchester,L1,T8,Wash,Uniform,2025-01-05,2025-01-06,2025-01-07,65.35,229.0,2.54,0,6,1
Pakistan,Islamabad,L1,T58,Rent-Laundry,Tablecloth,2025-01-05,2025-01-08,2025-01-09,38.94,,,0,6,1
UK,Birmingham,L3,T8,Dry-clean,Uniform,2025-01-05,2025-01-08,2025-01-09,55.41,144.0,1.16,0,6,1
Pakistan,Karachi,L8,T68,Dry-clean,Towel,2025-01-05,2025-01-07,2025-01-09,92.61,199.0,2.64,0,6,1
UK,Birmingham,L10,T7,Press,Uniform,2025-01-05,2025-01-06,2025-01-08,18.51,,3.71,0,6,1
UK,Manchester,L10,T20,Wash,Tablecloth,2025-01-05,2025-01-08,2025-01-09,92.51,179.0,4.87,0,6,1
Pakistan,Islamabad,L7,T17,Dry-clean,Bedsheet,2025-01-05,2025-01-07,2025-01-09,67.91,184.0,4.25,0,6,1
Pakistan,Islamabad,L9,T12,Press,Curtain,2025-01-05,2025-01-08,2025-01-10,11.64,,2.24,0,6,1
USA,Los Angeles,L8,T25,Wash,Towel,2025-01-06,2025-01-07,2025-01-08,36.62,125.0,3.03,0,0,0
Pakistan,Islamabad,L9,T5,Press,Tablecloth,2025-01-06,2025-01-07,2025-01-09,23.88,,1.72,0,0,0
Pakistan,Islamabad,L3,T93,Dry-clean,Curtain,2025-01-06,2025-01-08,2025-01-09,97.26,256.0,2.14,0,0,0
Pakistan,Karachi,L4,T69,Wash,Curtain,2025-01-06,2025-01-07,2025-01-09,71.05,246.0,4.94,0,0,0
UK,Manchester,L7,T65,Dry-clean,Towel,2025-01-06,2025-01-07,2025-01-08,88.57,113.0,3.56,0,0,0
UK,Birmingham,L2,T92,Press,Bedsheet,2025-01-06,2025-01-08,2025-01-09,78.68,,2.09,0,0,0
Pakistan,Lahore,L7,T12,Rent-Laundry,Towel,2025-01-06,2025-01-08,2025-01-10,93.74,,,0,0,0
UK,London,L7,T65,Wash,Curtain,2025-01-06,2025-01-07,2025-01-09,30.21,181.0,4.72,0,0,0
Pakistan,Islamabad,L6,T19,Wash,Uniform,2025-01-06,2025-01-08,2025-01-09,78.3,220.0,2.79,0,0,0
USA,New York,L1,T33,Wash,Towel,2025-01-06,2025-01-09,2025-01-11,20.01,173.0,1.95,0,0,0
USA,New York,L4,T54,Press,Tablecloth,2025-01-06,2025-01-08,2025-01-09,19.98,,4.62,0,0,0
Pakistan,Islamabad,L1,T81,Dry-clean,Towel,2025-01-06,2025-01-09,2025-01-10,36.21,100.0,3.46,0,0,0
USA,Chicago,L7,T24,Press,Bedsheet,2025-01-06,2025-01-09,2025-01-11,16.09,,3.1,0,0,0
Pakistan,Islamabad,L9,T3,Wash,Curtain,2025-01-06,2025-01-07,2025-01-09,98.29,164.0,3.99,0,0,0
UK,London,L6,T31,Press,Bedsheet,2025-01-06,2025-01-09,2025-01-11,22.01,,2.41,0,0,0
UK,Birmingham,L3,T100,Press,Curtain,2025-01-06,2025-01-09,2025-01-10,83.03,,1.25,0,0,0
UK,London,L5,T26,Wash,Towel,2025-01-06,2025-01-07,2025-01-09,94.0,231.0,2.59,0,0,0
Pakistan,Karachi,L5,T5,Press,Towel,2025-01-06,2025-01-08,2025-01-10,87.59,,1.19,0,0,0
Pakistan,Karachi,L5,T16,Press,Curtain,2025-01-06,2025-01-08,2025-01-10,90.52,,2.55,0,0,0
USA,Los Angeles,L8,T48,Rent-Laundry,Tablecloth,2025-01-06,2025-01-08,2025-01-09,75.44,,,0,0,0
USA,Los Angeles,L10,T24,Dry-clean,Uniform,2025-01-06,2025-01-07,2025-01-08,39.51,175.0,2.23,0,0,0
Pakistan,Islamabad,L7,T22,Press,Uniform,2025-01-06,2025-01-08,2025-01-09,75.41,,4.65,0,0,0
Pakistan,Karachi,L5,T82,Rent-Laundry,Bedsheet,2025-01-06,2025-01-07,2025-01-09,42.7,,,0,0,0
Pakistan,Islamabad,L3,T4,Wash,Tablecloth,2025-01-06,2025-01-09,2025-01-11,13.13,117.0,1.94,0,0,0
Pakistan,Karachi,L6,T50,Rent-Laundry,Bedsheet,2025-01-07,2025-01-10,2025-01-11,71.12,,,0,1,0
UK,Manchester,L8,T98,Wash,Towel,2025-01-07,2025-01-10,2025-01-12,45.82,266.0,2.11,0,1,0
USA,New York,L3,T64,Dry-clean,Tablecloth,2025-01-07,2025-01-08,2025-01-10,79.75,280.0,2.79,0,1,0
Pakistan,Karachi,L8,T26,Wash,Bedsheet,2025-01-07,2025-01-09,2025-01-10,90.88,213.0,4.99,0,1,0
Pakistan,Karachi,L6,T91,Wash,Tablecloth,2025-01-07,2025-01-09,2025-01-11,86.62,282.0,3.84,0,1,0
Pakistan,Islamabad,L3,T47,Dry-clean,Bedsheet,2025-01-07,2025-01-08,2025-01-09,31.31,226.0,1.11,0,1,0
Pakistan,Islamabad,L6,T60,Press,Tablecloth,2025-01-07,2025-01-08,2025-01-09,15.92,,2.59,0,1,0
Pakistan,Islamabad,L8,T68,Dry-clean,Curtain,2025-01-07,2025-01-10,2025-01-11,21.28,181.0,3.57,0,1,0
UK,Manchester,L9,T45,Wash,Tablecloth,2025-01-07,2025-01-10,2025-01-11,79.1,133.0,2.73,0,1,0
USA,New York,L9,T20,Wash,Towel,2025-01-07,2025-01-09,2025-01-10,41.14,232.0,4.58,0,1,0
USA,Los Angeles,L4,T82,Rent-Laundry,Uniform,2025-01-07,2025-01-08,2025-01-10,65.3,,,0,1,0
USA,Chicago,L3,T76,Rent-Laundry,Towel,2025-01-07,2025-01-08,2025-01-10,85.83,,,0,1,0
Pakistan,Lahore,L1,T11,Wash,Tablecloth,2025-01-07,2025-01-09,2025-01-10,79.03,206.0,3.47,0,1,0
USA,Los Angeles,L9,T38,Press,Uniform,2025-01-07,2025-01-09,2025-01-10,82.42,,3.74,0,1,0
UK,Manchester,L2,T89,Wash,Curtain,2025-01-07,2025-01-09,2025-01-11,51.8,187.0,3.43,0,1,0
UK,Birmingham,L6,T94,Rent-Laundry,Uniform,2025-01-07,2025-01-09,2025-01-10,78.46,,,0,1,0
Pakistan,Islamabad,L2,T41,Wash,Bedsheet,2025-01-07,2025-01-09,2025-01-11,32.31,124.0,1.2,0,1,0
UK,Birmingham,L7,T32,Rent-Laundry,Towel,2025-01-07,2025-01-09,2025-01-11,27.09,,,0,1,0
USA,Los Angeles,L9,T60,Dry-clean,Uniform,2025-01-07,2025-01-09,2025-01-10,18.1,200.0,3.02,0,1,0
USA,New York,L10,T46,Wash,Uniform,2025-01-07,2025-01-09,2025-01-11,35.72,102.0,4.39,0,1,0
UK,London,L5,T94,Wash,Curtain,2025-01-07,2025-01-09,2025-01-10,46.05,245.0,3.25,0,1,0
UK,Birmingham,L5,T10,Wash,Curtain,2025-01-07,2025-01-10,2025-01-12,84.28,259.0,3.72,0,1,0
USA,New York,L2,T51,Wash,Uniform,2025-01-07,2025-01-10,2025-01-12,77.95,150.0,3.41,0,1,0
UK,Birmingham,L1,T6,Wash,Uniform,2025-01-07,2025-01-09,2025-01-11,23.4,231.0,1.56,0,1,0
Pakistan,Karachi,L3,T51,Rent-Laundry,Uniform,2025-01-07,2025-01-10,2025-01-12,55.66,,,0,1,0
Pakistan,Islamabad,L8,T91,Dry-clean,Curtain,2025-01-07,2025-01-08,2025-01-10,39.81,128.0,4.92,0,1,0
Pakistan,Karachi,L1,T77,Dry-clean,Tablecloth,2025-01-07,2025-01-10,2025-01-11,74.93,249.0,2.92,0,1,0
Pakistan,Islamabad,L10,T100,Press,Towel,2025-01-07,2025-01-10,2025-01-11,12.84,,4.79,0,1,0
USA,New York,L1,T57,Wash,Towel,2025-01-07,2025-01-09,2025-01-10,46.93,298.0,3.45,0,1,0
UK,Birmingham,L1,T91,Wash,Towel,2025-01-08,2025-01-11,2025-01-13,99.83,222.0,3.1,0,2,0
UK,London,L8,T69,Wash,Uniform,2025-01-08,2025-01-11,2025-01-13,64.91,149.0,4.83,0,2,0
UK,Birmingham,L5,T29,Rent-Laundry,Uniform,2025-01-08,2025-01-10,2025-01-11,72.12,,,0,2,0
UK,Manchester,L8,T45,Dry-clean,Uniform,2025-01-08,2025-01-10,2025-01-11,61.61,239.0,2.52,0,2,0
UK,Manchester,L3,T38,Wash,Bedsheet,2025-01-08,2025-01-10,2025-01-12,69.04,291.0,2.92,0,2,0
USA,Chicago,L5,T72,Press,Towel,2025-01-08,2025-01-09,2025-01-10,31.82,,3.68,0,2,0
Pakistan,Lahore,L4,T7,Wash,Uniform,2025-01-08,2025-01-11,2025-01-13,19.05,297.0,1.55,0,2,0
Pakistan,Lahore,L7,T84,Rent-Laundry,Curtain,2025-01-08,2025-01-10,2025-01-11,78.03,,,0,2,0
UK,Manchester,L5,T83,Wash,Bedsheet,2025-01-08,2025-01-11,2025-01-12,58.16,285.0,4.4,0,2,0
USA,New York,L7,T23,Rent-Laundry,Bedsheet,2025-01-08,2025-01-10,2025-01-12,26.77,,,0,2,0
Pakistan,Karachi,L1,T2,Wash,Tablecloth,2025-01-08,2025-01-09,2025-01-11,35.61,264.0,3.17,0,2,0
UK,London,L9,T60,Wash,Bedsheet,2025-01-08,2025-01-10,2025-01-11,75.8,265.0,2.03,0,2,0
USA,New York,L6,T38,Dry-clean,Towel,2025-01-08,2025-01-09,2025-01-11,84.43,231.0,2.31,0,2,0
UK,Birmingham,L2,T24,Rent-Laundry,Curtain,2025-01-08,2025-01-10,2025-01-11,10.61,,,0,2,0
